OID_,ID,FAJA,NRO,NOMBRE,CAP,HT,GlobalID,coord_X,coord_Y,PADRINO,LONG,LATI,Field
1,F1 1 CH,PARCELA 1,1,CUCHI,90 ,13,,751379.684799999929965,8029844.326600000262260,,-60.628569470142857,-17.804571769771876,
2,F1 2 MO,PARCELA 1,2,MOMOQUI,127,16.5,,751400.167399999685585,8029842.522499999962747,,-60.628376150138358,-17.804585720177418,
3,F1 3 CU,PARCELA 1,3,CURUPAU,107,16,,751395.756599999964237,8029851.990100000053644,,-60.628418864356114,-17.804500722395819,
4,F1 4 BAL,PARCELA 1,4,BALSA,85,18,,751378.054800000041723,8029858.837199999950826,,-60.628586569666197,-17.804440910408402,
5,F1 5 CU,PARCELA 1,5,CURUPAU,105,20,,751396.292399999685585,8029856.233400000259280,,-60.628414319586135,-17.804462339722122,
6,F1 6 CU,PARCELA 1,6,CURUPAU,104,14.5,,751409.279799999669194,8029851.227800000458956,,-60.628291280200649,-17.804506060106618,
7,F1 7 TJ,PARCELA 1,7,TAJIBO,80,17,,751410.375300000421703,8029854.975399999879301,,-60.628281399571392,-17.804472090102745,
8,F1 8 MO,PARCELA 1,8,MOMOQUI,84,19,,751413.359100000001490,8029847.692599999718368,,-60.628252399544770,-17.804537520056140,
9,F1 9 CU,PARCELA 1,9,CURUPAU,97,23,,751411.322200000286102,8029840.035899999551475,,-60.628270688701356,-17.804606900952841,
10,F1 10 CU,PARCELA 1,10,CURUPAU,115,20,,751412.852099999785423,8029852.388399999588728,,-60.628257740079675,-17.804495170109504,
11,F1 11 CU,PARCELA 1,11,CURUPAU,100,25,,751425.191599999554455,8029838.261400000192225,,-60.628139719732552,-17.804621340171547,
12,F1 12 AJ,PARCELA 1,12,AJUNAO,103,25,,751411.633200000040233,8029860.462500000372529,,-60.628270195573691,-17.804422392038536,
13,F1 13 CU,PARCELA 1,13,CURUPAU,127,12.5,,751415.393600000068545,8029859.344299999997020,,-60.628234610026588,-17.804432060448466,
14,F1 14 CU,PARCELA 1,14,CUCHI,130,18.8,,751395.098600000143051,8029861.224700000137091,,-60.628426170323934,-17.804417399641427,
15,F1 13 ??,PARCELA 1,15,S/N,90,9.5,,751380.302899999544024,8029863.319899999536574,,-60.628565910336256,-17.804400169887472,
16,F1 16 CU,PARCELA 1,16,CURUPAU,99,23,,751398.276399999856949,8029871.932099999859929,,-60.628397489246090,-17.804320337290076,
17,F1 17 CU,PARCELA 1,17,CURUPAU,180,35,,751400.549499999731779,8029879.558799999766052,,-60.628376969644279,-17.804251200318578,
19,F1 18 CU,PARCELA 1,18,CURUPAU,140,30,,751404.871500000357628,8029886.400299999862909,,-60.628337039857342,-17.804188920186451,
20,F1 19 CU,PARCELA 1,19,CURUPAU,144,30,,751430.653199999593198,8029882.484000000171363,,-60.628093509657738,-17.804221339651495,
21,F1 20 MO,PARCELA 1,20,MOMOQUI,102,23,,751428.286899999715388,8029882.832799999974668,,-60.628115860115251,-17.804218460284712,
22,F1 21 MO,PARCELA 1,21,MOMOQUI,108,23,,751423.183100000023842,8029880.089399999938905,,-60.628163649737672,-17.804243819790813,
23,F1 22 CU,PARCELA 1,22,CURUPAU,104,22,,751424.248599999584258,8029879.775000000372529,,-60.628153566962339,-17.804246537278559,
24,F1 23 CU,PARCELA 1,23,CURUPAU,103,22,,751437.716000000014901,8029902.890499999746680,,-60.628029360262609,-17.804036239996432,
25,F1 24 CU,PARCELA 1,24,CURUPAU,96,20,,751428.255099999718368,8029898.325400000438094,,-60.628118009783101,-17.804078549716159,
26,F1 25 CU,PARCELA 1,25,CURUPAU,105,23,,751422.190600000321865,8029897.790900000371039,,-60.628175120316953,-17.804084070445917,
27,F1 26 CU,PARCELA 1,26,CURUPAU,85,20,,751430.381900000385940,8029904.949900000356138,,-60.628098749916212,-17.804018480366267,
28,F1 27 MO,PARCELA 1,27,MOMOQUI,95,20,,751411.662200000137091,8029908.690499999560416,,-60.628275680389784,-17.803986839940759,
